Installed Mods
                      File Name                     |             Registered Name             | Version  | MC Version |               Dependencies              | Category
malilib-fabric-1.19.4-0.15.2.jar                    | MaLiLib                                 | 0.15.2   | 1.19.4     |                                         | Required
memoryleakfix-fabric-1.17+-1.0.0.jar                | MemoryLeakFix                           | 1.0.0    | 1.19.4     |                                         | Performance
midnightlib-fabric-1.1.0.jar                        | MidnightLib                             | 1.1.0    | 1.19.3     |                                         | Required
minihud-fabric-1.19.4-0.26.2.jar                    | MiniHUD                                 | 0.26.2   | 1.19.4     |                                         | Technical
modmenu-6.1.0-rc.4.jar                              | Mod Menu                                | 6.1.0    | 1.19.4     |                                         | Required
MouseTweaks-fabric-mc1.19.4-2.24.jar                | Mouse Tweaks                            | 2.24     | 1.19.4     |                                         | QoL
reeses_sodium_options-1.5.0+mc1.19.4-build.72.jar   | Reese's Sodium Options                  | 1.5.0    | 1.19.4     | Sodium                                  | QoL
RoughlyEnoughItems-11.0.597.jar                     | Roughly Enough Items Fabric/Forge (REI) | 11.0.597 | 1.19.4     |                                         | QoL
RoughlyEnoughProfessions-fabric-1.19.4-1.2.1.jar    | Roughly Enough Professions (REP)        | 1.2.1    | 1.19.4     | Roughly Enough Items Fabric/Forge (REI) | QoL
RoughlyEnoughTrades-1.19.3-1.0.jar                  | Roughly Enough Trades                   | 1.0      | 1.19.3     | Roughly Enough Items Fabric/Forge (REI) | QoL
slyde-1.7.0.jar                                     | Slyde                                   | 1.7.0    | 1.19.4     | LibJF                                   | Technical
sodium-extra-0.4.18+mc1.19.4-build.100.jar          | Sodium Extra                            | 0.4.18   | 1.19.4     | Sodium                                  | Performance
sodium-fabric-mc1.19.4-0.4.10+build.24.jar          | Sodium                                  | 0.4.10   | 1.19.4     |                                         | Performance
starlight-1.1.1+fabric.ae22326.jar                  | Starlight (Fabric)                      | 1.1.1    | 1.19.4     |                                         | Performance
tcdcommons-2.5.2+1.19.4.jar                         | TCDCommons API                          | 2.5.2    | 1.19.4     | ArchitecturyAPI (Fabric/Forge)          | Required
worldedit-mod-7.2.14.jar                            | WorldEdit                               | 7.2.14   | 1.19.4     |                                         | Technical
Xaeros_Minimap_23.3.3_Fabric_1.19.4.jar             | Xaero's Minimap                         | 23.3.3   | 1.19.4     |                                         | QoL
XaerosWorldMap_1.29.5_Fabric_1.19.4.jar             | Xaero's World Map                       | 1.29.5   | 1.19.4     |                                         | QoL
YetAnotherConfigLib-2.4.0.jar                       | YetAnotherConfigLib                     | 2.4.0    | 1.19.4     |                                         | Required




Removed Mods
                      File Name                     |             Registered Name             | Version  | MC Version |               Dependencies              | Reason Removed
AmbientEnvironment-fabric-1.19.2-8.0+3.jar          | Ambient Environment                     | 8.0      | 1.19.2     |                                         | Unnecessary
badpackets-fabric-0.2.1.jar                         | bad packets                             | 0.2.1    | 1.19.2     |                                         | Unnecessary
betterbeds-1.2.0                                    | Better Beds                             | 1.2.0    | 1.19.2     |                                         | Replaced by Enhanced Block Entities
borderless-1.0.0                                    |                                         | 1.0.0    | 1.19.2     |                                         | Ineffective
cem-0.7.3-1.19.jar                                  |                                         | 0.7.3    | 1.19.2     |                                         | Ineffective
command-block-ide-0.3.3.jar                         |                                         | 0.3.3    | 1.19.2     |                                         | Outdated
entity_model_features_fabric_1.19.3-0.2.4.jar       | Entity Model Features [CEM]             | 0.2.4    | 1.19.3     |                                         | Ineffective
invhud.fabric.1.19-3.4.7.jar                        |                                         | 3.4.7    | 1.19.2     |                                         | Unnecessary
phosphor-fabric-mc1.19.x-0.8.1.jar                  |                                         | 0.8.1    | 1.19.2     | Sodium                                  | Replaced by Starlight
rer-2.7.0.jar                                       | Roughly Enough Resources                | 2.7.0    | 1.19.3     | Roughly Enough Items Fabric/Forge (REI) | Ineffective
spark-1.10.29-fabric.jar                            |                                         | 1.10.29  | 1.19.2     |                                         | Unnecessary
tweakeroo-fabric-1.19.2-0.14.3.jar                  |                                         | 0.14.3   | 1.19.2     |                                         | Replace by InventoryProfilesNext or Inventory Tweaks
voicechat-fabric-1.19.2-2.3.28.jar                  |                                         | 2.3.28   | 1.19.2     |                                         | Unnecessary
waveycapes-fabric-1.3.2-mc1.19.2.jar                |                                         | 1.3.2    | 1.19.2     |                                         | Most people wear elytra
wthit-fabric-5.14.0.jar                             |                                         | 5.14.0   | 1.19.2     | bad packets                             | Unnecessary
